Exercise A.3 checks:
VtAV=D?: true
VDVt=A?: true
VtV=I? : true
VVt=I? : true
Lowest energy calculated: -0.499817 Hartree, exact is 0.5 Hartree
Corresponding wavefunction (r, psi):
0.02,0.00554943
0.04,0.0108791
0.06,0.0159955
0.08,0.0209051
0.1,0.025614
0.12,0.0301282
0.14,0.0344536
0.16,0.0385958
0.18,0.0425606
0.2,0.0463532
0.22,0.0499789
0.24,0.0534429
0.26,0.0567501
0.28,0.0599054
0.3,0.0629134
0.32,0.0657789
0.34,0.0685062
0.36,0.0710997
0.38,0.0735636
0.4,0.0759021
0.42,0.0781191
0.44,0.0802186
0.46,0.0822043
0.48,0.0840799
0.5,0.085849
0.52,0.087515
0.54,0.0890814
0.56,0.0905515
0.58,0.0919284
0.6,0.0932152
0.62,0.0944151
0.64,0.0955309
0.66,0.0965654
0.68,0.0975215
0.7,0.0984019
0.72,0.0992092
0.74,0.0999459
0.76,0.100615
0.78,0.101217
0.8,0.101757
0.82,0.102236
0.84,0.102655
0.86,0.103018
0.88,0.103327
0.9,0.103582
0.92,0.103787
0.94,0.103944
0.96,0.104053
0.98,0.104117
1,0.104138
1.02,0.104117
1.04,0.104057
1.06,0.103957
1.08,0.103821
1.1,0.10365
1.12,0.103444
1.14,0.103206
1.16,0.102937
1.18,0.102638
1.2,0.102311
1.22,0.101956
1.24,0.101575
1.26,0.101169
1.28,0.10074
1.3,0.100288
1.32,0.0998137
1.34,0.0993192
1.36,0.0988052
1.38,0.0982725
1.4,0.0977222
1.42,0.0971551
1.44,0.0965721
1.46,0.0959741
1.48,0.0953618
1.5,0.0947362
1.52,0.0940979
1.54,0.0934477
1.56,0.0927863
1.58,0.0921145
1.6,0.0914328
1.62,0.090742
1.64,0.0900427
1.66,0.0893354
1.68,0.0886208
1.7,0.0878994
1.72,0.0871719
1.74,0.0864386
1.76,0.0857001
1.78,0.084957
1.8,0.0842097
1.82,0.0834586
1.84,0.0827041
1.86,0.0819468
1.88,0.081187
1.9,0.0804252
1.92,0.0796616
1.94,0.0788967
1.96,0.0781308
1.98,0.0773642
2,0.0765974
2.02,0.0758305
2.04,0.0750639
2.06,0.0742979
2.08,0.0735327
2.1,0.0727687
2.12,0.072006
2.14,0.0712449
2.16,0.0704857
2.18,0.0697286
2.2,0.0689738
2.22,0.0682215
2.24,0.0674719
2.26,0.0667251
2.28,0.0659814
2.3,0.065241
2.32,0.0645039
2.34,0.0637704
2.36,0.0630406
2.38,0.0623146
2.4,0.0615926
2.42,0.0608747
2.44,0.060161
2.46,0.0594516
2.48,0.0587467
2.5,0.0580463
2.52,0.0573506
2.54,0.0566595
2.56,0.0559733
2.58,0.055292
2.6,0.0546156
2.62,0.0539443
2.64,0.0532781
2.66,0.052617
2.68,0.0519611
2.7,0.0513105
2.72,0.0506653
2.74,0.0500254
2.76,0.0493908
