Fit result: a = 142.404, λ = 0.170624 +- 0.00715662
Fitted half-life:  T_1/2 = ln(2)/λ = 4.06242 +- 0.170394
Modern half-life: T_1/2 = 3.632

    t       y   y_fit  residual    dy
 1.00  117.00 120.066    -0.511  6.00
 2.00  100.00 101.232    -0.246  5.00
 3.00   88.00  85.353     0.662  4.00
 4.00   72.00  71.964     0.009  4.00
 6.00   53.00  51.158     0.460  4.00
 9.00   29.50  30.663    -0.388  3.00
10.00   25.20  25.853    -0.218  3.00
13.00   15.20  15.496    -0.148  2.00
15.00   11.10  11.016     0.042  2.00
Uncertainties: d_lna = 0.04, d_lambda = 0.01
